figure_id,file_index,relative_path,sha256,format,width,height,mode,frame_count,has_alpha,pixel_variance_mean,near_blank,extrema_json,visual_review_status,visual_review_notes
FIG-0001,665,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/1000185000.jpg,2ad6a4d7d6bc8af3135fbd9f85e27998b3d94a9fa4e498b08b7ea34e75337d19,JPEG,691,1536,RGB,1,False,444.412993,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_nonplot_artifact,"Captura vertical de una conversación/interfaz, no figura científica; requiere trazabilidad de procedencia y función documental."
FIG-0002,666,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_carga_frecuencia.png,21ea26cda9baa99063f654312d8099e39d01888e89e8863ff69b77b16249d40d,PNG,1530,1044,RGBA,1,True,113.691877,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0003,667,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_compactacion.png,fbb8de0aefd5265bca76134ff37e7ed1365d624789df5c2488d94bb43e8fa053,PNG,1620,1080,RGBA,1,True,256.715985,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0004,668,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_compactacion_frecuencia.png,5e8200a577ffdc1b82dbebaa7573a2947c1056741c2d16a64f37c8e24a5521eb,PNG,1530,1044,RGBA,1,True,122.564026,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0005,669,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_lapse.png,dab8b8a0128c644982352bd23daa7704677d23de279a048fb6d8914081360024,PNG,1620,1080,RGBA,1,True,195.357486,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0006,670,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_masa_frecuencia.png,111fba81b21a4f3898fdeeb0d5a95a6cab72f37f5c1a6ce245765556e388118d,PNG,1530,1044,RGBA,1,True,111.170632,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0007,671,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_masa_radio_kappa01.png,2758977981d29e06514f07d165024533962ee9d31e6cca73a49500c964faafda,PNG,1530,1044,RGBA,1,True,104.945516,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0008,672,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_perfiles_campo.png,066bdbf362c0c6873d2360194c643e427e3013a70272ce773769847bfb1bb09b,PNG,1620,1080,RGBA,1,True,134.463054,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0009,673,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/einstein_omega_perfiles_rama_kappa01.png,c9947f51ebbf7f3793909f73a8ffc8ce80188fef470b97f08ebbc9095fc7c92b,PNG,1620,1080,RGBA,1,True,188.343076,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_pass,"Inspeccionada en hoja de contacto; contenido visible, ejes/leyendas legibles y sin recorte aparente."
FIG-0010,674,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/FIGURAS/omega_carga_escalar.png,c34e38b6ddccbae71d6523429a706c34f886f497793a352329ab0e9ebf415fb2,PNG,1440,990,RGBA,1,True,121.362929,False,"[[0, 255], [0, 255], [0, 255]]",reviewed_reference_only,"Lienzo legible, pero sólo contiene una línea vertical de referencia; no se observa serie de carga escalar."
