catalog,source_category,rows,fraction
extractos_ontologicos,auditoria_consolidada,163,0.07422586520947176
extractos_ontologicos,catalogo_ecuaciones_derivado,241,0.10974499089253188
extractos_ontologicos,corpus_compilado,463,0.21083788706739526
extractos_ontologicos,fuente_individual_o_documento_canonico,1314,0.5983606557377049
extractos_ontologicos,informe_maestro,15,0.006830601092896175
ecuaciones_ocurrencias,auditoria_consolidada,14,0.0007268196448966878
ecuaciones_ocurrencias,catalogo_ecuaciones_derivado,9303,0.482971654033849
ecuaciones_ocurrencias,corpus_compilado,3694,0.19177655487488318
ecuaciones_ocurrencias,fuente_individual_o_documento_canonico,6244,0.32416156162392273
ecuaciones_ocurrencias,informe_maestro,7,0.0003634098224483439
resultados_negativos,auditoria_consolidada,53,0.3706293706293706
resultados_negativos,catalogo_ecuaciones_derivado,3,0.02097902097902098
resultados_negativos,corpus_compilado,16,0.11188811188811189
resultados_negativos,fuente_individual_o_documento_canonico,70,0.48951048951048953
resultados_negativos,informe_maestro,1,0.006993006993006993
dudas_abiertas,catalogo_ecuaciones_derivado,1,0.012345679012345678
dudas_abiertas,corpus_compilado,3,0.037037037037037035
dudas_abiertas,fuente_individual_o_documento_canonico,76,0.9382716049382716
dudas_abiertas,informe_maestro,1,0.012345679012345678
indice_encabezados,auditoria_consolidada,1129,0.07377638371561132
indice_encabezados,catalogo_ecuaciones_derivado,9505,0.621120041821865
indice_encabezados,corpus_compilado,1528,0.09984970267267856
indice_encabezados,fuente_individual_o_documento_canonico,3109,0.20316277854015552
indice_encabezados,informe_maestro,32,0.0020910932496896032
