s,n,relative_error
0.1,10,0.0045815473918371
0.1,100,0.0004508003888294
0.1,1000,4.50079891025129e-05
0.1,10000,4.500079621548975e-06
0.5,10,0.1176701338368666
0.5,100,0.0112994571301583
0.5,1000,0.0011254924248576
0.5,10000,0.0001125049219471
1.0,10,0.4326332956323873
1.0,100,0.044882346274091
1.0,1000,0.0044988699285032
1.0,10000,0.0004499887446063
2.0,10,0.957697424943456
2.0,100,0.1710043505490083
2.0,1000,0.0179100004225685
2.0,10000,0.001799100000491
5.0,10,0.9970826881360834
5.0,100,0.7140370293445886
5.0,1000,0.1074188187205813
5.0,10000,0.0111980920019696
