base_path,base_git_blob_sha,action,active_path,active_git_blob_sha,reason
.gitignore,63f8fd2f9197bac10f2b96594d232c84b30b338a,retained_exact,.gitignore,63f8fd2f9197bac10f2b96594d232c84b30b338a,Byte-identical retained file.
CHANGELOG.md,bc5a08ad987075910f908e32c52b38463b22bc23,updated_documentation_or_tooling,CHANGELOG.md,00ccabbf13d5300d9d348c225c59ffabfcba9b96,Updated to implement audited organization or labeling; scientific source content not promoted.
CITATION.cff,55c49a2efa53a5cad1bbb31f44fda1ab91121664,retained_exact,CITATION.cff,55c49a2efa53a5cad1bbb31f44fda1ab91121664,Byte-identical retained file.
CONTRIBUTING.md,431435743ba86362faaa7d0f2daad042c869008b,retained_exact,CONTRIBUTING.md,431435743ba86362faaa7d0f2daad042c869008b,Byte-identical retained file.
LICENSE.md,9cf82e5f99e33eb55aaa33752b34c9f9138ad344,retained_exact,LICENSE.md,9cf82e5f99e33eb55aaa33752b34c9f9138ad344,Byte-identical retained file.
README.md,15f678551e6b7134e98a4ac4f6bf87a297b91c86,updated_documentation_or_tooling,README.md,9e13087c3574fa24b5a89162f9c7ce335290c15c,Updated to implement audited organization or labeling; scientific source content not promoted.
ROADMAP.md,0d14ad132153cae5672c253edf98b7cf0a564e5e,updated_documentation_or_tooling,ROADMAP.md,c55f70d58065929561cfe7f93c321d88e2ba2a42,Updated to implement audited organization or labeling; scientific source content not promoted.
canon/mathematics/MAPA_FORMALISMO.md,0ae7bdcba00121d99b747815ac3ea69ff71e1b05,retained_exact,canon/mathematics/MAPA_FORMALISMO.md,0ae7bdcba00121d99b747815ac3ea69ff71e1b05,Byte-identical retained file.
canon/ontology/CANON_ONTOLOGICO_VIGENTE.md,720501af336d47f69f350987d45bdf184ddfaea8,retained_exact,canon/ontology/CANON_ONTOLOGICO_VIGENTE.md,720501af336d47f69f350987d45bdf184ddfaea8,Byte-identical retained file.
canon/status/ESTADOS_EPISTEMOLOGICOS.md,74d6c673d98cf440d9ba9b99899e8fa19d22e926,retained_exact,canon/status/ESTADOS_EPISTEMOLOGICOS.md,74d6c673d98cf440d9ba9b99899e8fa19d22e926,Byte-identical retained file.
canon/status/EVOLUCION_CONCEPTUAL.md,4791771903d8d4ebae1cf4244f000cce4a71b06e,retained_exact,canon/status/EVOLUCION_CONCEPTUAL.md,4791771903d8d4ebae1cf4244f000cce4a71b06e,Byte-identical retained file.
data/deliveries_01_17/checks.json,e845b8a48a2542ff1c46c99cb92382dd90b7886a,relocated_as_repository_derived,data/derived/deliveries_01_17/checks.json,e845b8a48a2542ff1c46c99cb92382dd90b7886a,Repository-created compact check record; not primary evidence.
data/deliveries_01_17/d01_continuity_break.csv,2d7dfb184520a1c9fa9d6232756026a8631d2469,replaced_by_audited_primary,data/primary/delivery_01/TEST_03_RUPTURA_CONTINUIDAD.csv,ed4ca2462dec3e01d9d7d4fbe7cc51e243856f91,Lossy normalized copy replaced by the exact archived CSV.
data/deliveries_01_17/d13_partition_limit_summary.csv,2da17467f21e9a6de0f6684dff090399fad3ed14,relocated_as_repository_derived,data/derived/deliveries_01_17/d13_partition_limit_summary.csv,2da17467f21e9a6de0f6684dff090399fad3ed14,Repository summary retained and explicitly labeled derived.
data/deliveries_01_17/d16_cycle_order_summary.csv,ab17751b3d813fcde1e051be2fd38750a2a7d07e,relocated_as_repository_derived,data/derived/deliveries_01_17/d16_cycle_order_summary.csv,ab17751b3d813fcde1e051be2fd38750a2a7d07e,Repository summary retained and explicitly labeled derived.
data/deliveries_01_17/d17_history_erasure.csv,9757615bbe4896049f04c893793f491d1fa7181a,replaced_by_audited_primary,data/primary/delivery_17/TEST_04_BORRADO_HISTORIA.csv,9757615bbe4896049f04c893793f491d1fa7181a,Copy replaced by the exact archived CSV.
data/selected/README.md,93704f8886af5c90718ce646d7a4a7a6d01a5a4a,replaced_by_repository_data_policy,data/README.md,6c8564dccc73652a9cff616387f5deeb93b19cf4,Documentation expanded to distinguish primary and derived data.
data/selected/delivery_18__monotonicity_summary.csv,39d122bf89f0b832f84f9859f7344009f4fe41a5,relocated_as_repository_derived,data/derived/delivery_18__monotonicity_summary.csv,39d122bf89f0b832f84f9859f7344009f4fe41a5,Repository summary retained and explicitly labeled derived.
data/selected/delivery_19__test_04_produccion_entropia.csv,a8f7843ea98d4f20a593325b41c91a479ca6f490,replaced_by_audited_primary,data/primary/delivery_19/TEST_04_PRODUCCION_ENTROPIA.csv,a8f7843ea98d4f20a593325b41c91a479ca6f490,Trailing-newline copy replaced by byte-exact source.
data/selected/delivery_20__test_02_identidades_canonicas.csv,0940de196a01375850a00bc7fdc41d904c39336e,replaced_by_audited_primary,data/primary/delivery_20/TEST_02_IDENTIDADES_CANONICAS.csv,0940de196a01375850a00bc7fdc41d904c39336e,Trailing-newline copy replaced by byte-exact source.
data/selected/delivery_21__test_02_aditividad_energia_frecuencia.csv,17bd5987d879dd4a4656a421c84437bc33b521e1,replaced_by_audited_primary,data/primary/delivery_21/TEST_02_ADITIVIDAD_ENERGIA_FRECUENCIA.csv,17bd5987d879dd4a4656a421c84437bc33b521e1,Trailing-newline copy replaced by byte-exact source.
docs/ARCHIVE_POLICY.md,29859bb683e98d038f72f60741910593ad0d67e9,updated_documentation_or_tooling,docs/ARCHIVE_POLICY.md,57750bcc1b7f2cc19414ee3671c191c4c437fcdf,Updated to implement audited organization or labeling; scientific source content not promoted.
docs/REPRODUCIBILITY.md,2dff223541f223b4e63bde744820a97512204dae,updated_documentation_or_tooling,docs/REPRODUCIBILITY.md,eb50d81af377ccac6a17e6bd02902bf5cd49134c,Updated to implement audited organization or labeling; scientific source content not promoted.
docs/reproducibility/DELIVERIES_01_17.md,68981578daa5556df1eee8d383069278f09304af,updated_documentation_or_tooling,docs/reproducibility/DELIVERIES_01_17.md,dfb49cb783531d9f12c247413c184956fbba28e4,Updated to implement audited organization or labeling; scientific source content not promoted.
docs/reproducibility/README.md,13ef4391ae2537eeaa3b07165494a1104d5727e9,updated_documentation_or_tooling,docs/reproducibility/README.md,68f4f290939da85fec78236ac219bf81637c3078,Updated to implement audited organization or labeling; scientific source content not promoted.
docs/reproducibility/REGENERATE_01_06.md,3a3c91956171d7306d3bdfdaad44e5fce086053f,excluded_history_only,,,Describes a modern generator not present in the audited Canon Master.
figures/core_energy_frequency_additivity.svg,0553044030588ea52a5e12b4476f3255970d989f,retained_exact,figures/core_energy_frequency_additivity.svg,0553044030588ea52a5e12b4476f3255970d989f,Byte-identical retained file.
figures/core_entropy_production.svg,57af82b76393c6b47b7fd2149df9a635fcf0fb91,retained_exact,figures/core_entropy_production.svg,57af82b76393c6b47b7fd2149df9a635fcf0fb91,Byte-identical retained file.
figures/core_global_vs_local_monotonicity.svg,66acbe636ead3dd13883c44bfc86df480707d7bf,retained_exact,figures/core_global_vs_local_monotonicity.svg,66acbe636ead3dd13883c44bfc86df480707d7bf,Byte-identical retained file.
figures/deliveries_01_17/d01_gap_vs_bridge.svg,3d5a2ae275b505ac07047cbe3f15f2fe0d7761c8,retained_exact,figures/deliveries_01_17/d01_gap_vs_bridge.svg,3d5a2ae275b505ac07047cbe3f15f2fe0d7761c8,Byte-identical retained file.
figures/deliveries_01_17/d13_partition_convergence.svg,c7309fa9f616be2a40a6326bddce5ebff40d2a42,retained_exact,figures/deliveries_01_17/d13_partition_convergence.svg,c7309fa9f616be2a40a6326bddce5ebff40d2a42,Byte-identical retained file.
figures/deliveries_01_17/d16_cycles_vs_order.svg,2dab219ff9eccd733d8c710a52c7bfb507d6f907,retained_exact,figures/deliveries_01_17/d16_cycles_vs_order.svg,2dab219ff9eccd733d8c710a52c7bfb507d6f907,Byte-identical retained file.
figures/deliveries_01_17/d17_erasure_recurrence.svg,f3d291dd997a9de8d4bdb88e03ac06442984a47f,retained_exact,figures/deliveries_01_17/d17_erasure_recurrence.svg,f3d291dd997a9de8d4bdb88e03ac06442984a47f,Byte-identical retained file.
manifests/METADATA_CANON_MAESTRO.json,b6c3bd675cad80200b809c61d67d0a5cfe80fc76,retained_exact,manifests/METADATA_CANON_MAESTRO.json,b6c3bd675cad80200b809c61d67d0a5cfe80fc76,Byte-identical retained file.
numerical/GUIA_RESULTADOS_NUMERICOS.md,0a91e18447fd41dc6856cd8db8e89b4bb17c8e2e,retained_exact,numerical/GUIA_RESULTADOS_NUMERICOS.md,0a91e18447fd41dc6856cd8db8e89b4bb17c8e2e,Byte-identical retained file.
pyproject.toml,b722192060caeab22aa1d5bb66fe81d66168d842,updated_documentation_or_tooling,pyproject.toml,53d1a488639e01a9c98bfa7645fe71fb96aabbb4,Updated to implement audited organization or labeling; scientific source content not promoted.
requirements.txt,32820be47f422ef151ae9d702de89f45201887ee,updated_documentation_or_tooling,requirements.txt,222cc219978ae055275c6d439032f605c0701311,Updated to implement audited organization or labeling; scientific source content not promoted.
research/MAPA_DEPENDENCIAS.md,ac09dcff75b158bb393703c993e6dfddb0bcb92a,retained_exact,research/MAPA_DEPENDENCIAS.md,ac09dcff75b158bb393703c993e6dfddb0bcb92a,Byte-identical retained file.
