script_id,active_path,original_path,sha256,size_bytes,byte_exact,run_status,return_code,adaptation,occurrence_count
PY-0001,code/audited-originals/PY-0001__Geometry_Omega_Abelian_Charged_Solver_v9_2026-07-31.py,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Abelian_Charged_Solver_v9_2026-07-31.py,4df244f8a8b933d385dac744c5df9707ad836a3dea88d2961741470cb1a72c30,343,true,no_executable_logic,0,none,3
PY-0002,code/audited-originals/PY-0002__Geometry_Omega_Charged_Pulsation_BVP_v14_2026-07-31.py,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Charged_Pulsation_BVP_v14_2026-07-31.py,9e8fa983a8e74a9622d95e9dcaca2e92ad9f70914c012dd5d60034fc5e491184,5605,true,expected_interface_guard,1,none,3
PY-0003,code/audited-originals/PY-0003__Geometry_Omega_Symbolic_Verifier_v13_2026-07-31.py,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Symbolic_Verifier_v13_2026-07-31.py,1069695438e99023b8dce64a50a178f17c21160765c490d4654a8769fc4a665e,1649,true,execution_failed,1,none,3
PY-0004,code/audited-originals/PY-0004__Geometry_Omega_background_continuation_solver_2026-07-31.py,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_background_continuation_solver_2026-07-31.py,c4573389d495102f4041d373a21b16eecfd8c11e1bd39abf8bf2641e591b317f,2508,true,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory,3
PY-0005,code/audited-originals/PY-0005__Geometry_Omega_pulsation_solver_preliminary_v6_2026-07-31.py,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_pulsation_solver_preliminary_v6_2026-07-31.py,5785a026722f750dd20f9c9f0d083f6f4eea1c25ac6ebeeed229f6e133cdf535,2971,true,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory; packaged profile copied into isolated data directory,3
PY-0006,code/audited-originals/PY-0006__einstein_omega_solver.py,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/einstein_omega_solver.py,4f8b3d187364f5c1b5e1c36080063ee2e033b0fa95334d3900d002e119bd07a1,253,true,no_executable_logic,0,none,2
PY-0007,code/audited-originals/PY-0007__omega_qball_solver.py,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/omega_qball_solver.py,a08befeab58287ef1acfa4a60d36bfac0f561165182166a1fe5a6d540450aa4f,850,true,executed_successfully,0,none,2
PY-0015,code/audited-originals/PY-0015__reproducir_entrega_01.py,OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/03_CODIGO/reproducir_entrega_01.py,fdaf432fa6c48cd3f93307208a36cee5674ac3d2c5b344f26332d74a5fd580e4,12730,true,execution_failed,1,literal /mnt/data redirected to isolated temporary data directory,1
PY-0016,code/audited-originals/PY-0016__reproducir_entrega_02.py,OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/03_CODIGO/reproducir_entrega_02.py,762564a6f3580ac2e3d83089f0d05b1adf489a6d435cceea51998a3609cb4bc3,519,true,executed_successfully,0,none,1
PY-0017,code/audited-originals/PY-0017__reproducir_entrega_03.py,OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/03_CODIGO/reproducir_entrega_03.py,046bcea951a0e3d1fa71d8626f39aa20f1fca7b158b8687cd0731d83762d9e76,577,true,executed_successfully,0,none,1
PY-0018,code/audited-originals/PY-0018__reproducir_entrega_04.py,OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/03_CODIGO/reproducir_entrega_04.py,1e36cbd6051c5d04bbd129b8e848b551c07790b297874e0cec185dcd0e0629bc,289,true,executed_successfully,0,none,1
PY-0019,code/audited-originals/PY-0019__reproducir_entrega_05.py,OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/03_CODIGO/reproducir_entrega_05.py,671bd4435e1ce0f1f7ceb88f2b60389e7c0fd36355b9aaa18f3b82a3ff39ea3b,382,true,executed_successfully,0,none,1
PY-0020,code/audited-originals/PY-0020__reproducir_entrega_06.py,OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/03_CODIGO/reproducir_entrega_06.py,b28afe6f011480ada301af5c074c3f5d211f67c9422564596ed38c56675269cf,580,true,executed_successfully,0,none,1
PY-0021,code/audited-originals/PY-0021__reproducir_entrega_07.py,OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/03_CODIGO/reproducir_entrega_07.py,b35daa4854d643f82f0cb72a013b683ffa31c282365da82835f04221cd4be98d,361,true,executed_successfully,0,none,1
PY-0022,code/audited-originals/PY-0022__reproducir_entrega_08.py,OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/03_CODIGO/reproducir_entrega_08.py,f37a24ba99c949df0264674404017e2b79c83e453f0bb49de3a8b4fcf0a108b0,406,true,executed_successfully,0,none,1
PY-0023,code/audited-originals/PY-0023__reproducir_entrega_09.py,OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/03_CODIGO/reproducir_entrega_09.py,2cbc0dcc4df6e31f31003c622247167c670fe2f0156ab9d5cd505a9f9d6546e0,101,true,executed_successfully,0,none,1
PY-0024,code/audited-originals/PY-0024__reproducir_entrega_10.py,OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/03_CODIGO/reproducir_entrega_10.py,ef46502187b6e4753cf369d87ad8ce87947cf1ca8de720501ca13c96c1501d8a,175,true,executed_successfully,0,none,1
PY-0025,code/audited-originals/PY-0025__reproducir_entrega_11.py,OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/03_CODIGO/reproducir_entrega_11.py,5c94c1286cf3290a65ecada7afcdae7bc9eff5e52813e870fd6d0860c084ff0b,137,true,executed_successfully,0,none,1
