test	metric	value
symmetry_exhaustive_n4	branching_node_instances	8192
symmetry_exhaustive_n4	uniquely_fixed_by_symmetry	416
symmetry_exhaustive_n4	uniquely_fixed_fraction	0.05078125
symmetry_exhaustive_n4	underdetermined_after_symmetry	7776
symmetry_exhaustive_n4	underdetermined_fraction	0.94921875
symmetry_exhaustive_n4	zero_free_parameters	416
symmetry_exhaustive_n4	one_free_parameter	6096
symmetry_exhaustive_n4	two_free_parameters	1680
coarse_graining_n4	2_macroblocks_cases	1792
coarse_graining_n4	2_macroblocks_apparent_branching_fraction	0.6428571428571429
coarse_graining_n4	3_macroblocks_cases	1536
coarse_graining_n4	3_macroblocks_apparent_branching_fraction	0.625
