metric	key	value
branching_node_instances	all	8192
probability_relative_dimension_matches	all	8192
orbit_dimension_hist	(1,0,0)	416
orbit_dimension_hist	(2,1,1)	6096
orbit_dimension_hist	(3,2,2)	1680
degree_orbit_hist	(2,1)	384
degree_orbit_hist	(2,2)	5760
degree_orbit_hist	(3,1)	32
degree_orbit_hist	(3,2)	336
degree_orbit_hist	(3,3)	1680
graph_automorphism_group_size_hist	1	3264
graph_automorphism_group_size_hist	2	720
graph_automorphism_group_size_hist	3	32
graph_automorphism_group_size_hist	4	48
graph_automorphism_group_size_hist	6	24
graph_automorphism_group_size_hist	8	6
graph_automorphism_group_size_hist	24	2
