domain	metric	value
n4_all_digraphs	graphs	4096
n4_all_digraphs	fixedpoint_matches_unique_bruteforce_coarsest	4096
n4_all_digraphs	unique_bruteforce_coarsest	4096
n4_all_digraphs	iterations_0	2402
n4_all_digraphs	iterations_1	362
n4_all_digraphs	iterations_2	756
n4_all_digraphs	iterations_3	576
n4_all_digraphs	fixedpoint_blocks_1	2402
n4_all_digraphs	fixedpoint_blocks_2	362
n4_all_digraphs	fixedpoint_blocks_3	540
n4_all_digraphs	fixedpoint_blocks_4	792
n5_ordered_DAGs	graphs	1024
n5_ordered_DAGs	fixedpoint_stable	1024
n5_functional	systems	3125
n5_functional	fixedpoint_stable	3125
n5_functional	fixedpoint_blocks_1	3125
n4_quotient	block_signature_checks	7914
n4_quotient	block_signature_checks_ok	7914
