domain	metric	value
n4_all_digraphs	graphs	4096
n4_all_digraphs	joint_refines_future	4096
n4_all_digraphs	joint_refines_past	4096
n4_all_digraphs	future_equals_past	2188
n4_all_digraphs	joint_equals_scc	2338
n4_all_digraphs	joint_equals_aut_orbits	2164
n4_all_digraphs	joint_is_discrete	1680
n4_all_digraphs	future_blocks_1	2402
n4_all_digraphs	future_blocks_2	362
n4_all_digraphs	future_blocks_3	540
n4_all_digraphs	future_blocks_4	792
n4_all_digraphs	past_blocks_1	2402
n4_all_digraphs	past_blocks_2	362
n4_all_digraphs	past_blocks_3	540
n4_all_digraphs	past_blocks_4	792
n4_all_digraphs	joint_blocks_1	1700
n4_all_digraphs	joint_blocks_2	356
n4_all_digraphs	joint_blocks_3	360
n4_all_digraphs	joint_blocks_4	1680
n4_all_digraphs	scc_blocks_1	1606
n4_all_digraphs	scc_blocks_2	1173
n4_all_digraphs	scc_blocks_3	774
n4_all_digraphs	scc_blocks_4	543
n4_all_digraphs	aut_blocks_1	20
n4_all_digraphs	aut_blocks_2	212
n4_all_digraphs	aut_blocks_3	600
n4_all_digraphs	aut_blocks_4	3264
n5_functional	systems	3125
n5_functional	joint_more_informative_than_future	3005
n5_functional	future_blocks_1	3125
n5_functional	past_blocks_1	120
n5_functional	past_blocks_2	125
n5_functional	past_blocks_3	540
n5_functional	past_blocks_4	1500
n5_functional	past_blocks_5	840
n5_functional	joint_blocks_1	120
n5_functional	joint_blocks_2	125
n5_functional	joint_blocks_3	420
n5_functional	joint_blocks_4	660
n5_functional	joint_blocks_5	1800
