domain	metric	value
n4_all_digraphs	graphs	4096
n4_all_digraphs	graphs_with_original_directed_cycle	3553
n4_all_digraphs	graphs_with_state_recurrence_in_history_depth4	3553
n4_history_space_depth4	directed_cycle_violations	0
n4_history_space_depth4	unique_parent_violations	0
n4_history_space_depth4	extension_depth_violations	0
n4_history_space_depth4	total_histories	249856
n4_history_space_depth4	same_endpoint_history_collisions	179932
n4_history_space_depth4	histories_depth_0	16384
n4_history_space_depth4	histories_depth_1	24576
n4_history_space_depth4	histories_depth_2	36864
n4_history_space_depth4	histories_depth_3	61440
n4_history_space_depth4	histories_depth_4	110592
n5_functional_depth8	systems	3125
n5_functional_depth8	systems_with_state_recurrence	3125
n5_functional_history_space	directed_cycle_violations	0
