metric	value
graph_partition_pairs	61440
stable_graph_partition_pairs	12562
micro_histories	2088960
macro_identity_classes	794592
classes_with_multiple_microhistories	348976
extra_microhistories_collapsed	1294368
internal_extension_tests	614400
internal_extension_invariant	614400
external_extension_tests	1228800
external_extension_is_append	1228800
stable_class_rep_tests	126602
stable_class_rep_consistent	126602
macro_targets_with_multiple_source_traces	99036
macro_classes_with_0_strict_next_traces	61632
macro_classes_with_1_strict_next_traces	294368
macro_classes_with_2_strict_next_traces	157440
macro_classes_with_3_strict_next_traces	11264
