partition	blocks	volume	components	largest_component	connected	boundary_vertices	boundary_edges	boundary_fraction	mean_external_neighbors	min_depth	max_depth	mean_depth
((0,1,2,3),)	1	2402	2	2401	0	2146	4128	0.8934221482098251	1.7185678601165695	1	3	1.1069941715237301
((0),(1,2,3))	2	62	4	27	0	62	510	1.0	8.225806451612904	1	1	1
((0,2,3),(1))	2	62	4	27	0	62	510	1.0	8.225806451612904	1	1	1
((0,1),(2,3))	2	38	6	9	0	38	360	1.0	9.473684210526315	1	1	1
((0),(1),(2,3))	3	90	22	15	0	90	880	1.0	9.777777777777779	1	1	1
((0,1,3),(2))	2	62	4	27	0	62	510	1.0	8.225806451612904	1	1	1
((0),(1,3),(2))	3	90	22	15	0	90	880	1.0	9.777777777777779	1	1	1
((0,2),(1,3))	2	38	6	9	0	38	360	1.0	9.473684210526315	1	1	1
((0,3),(1,2))	2	38	6	9	0	38	360	1.0	9.473684210526315	1	1	1
((0,1,2),(3))	2	62	4	27	0	62	510	1.0	8.225806451612904	1	1	1
((0),(1,2),(3))	3	90	22	15	0	90	880	1.0	9.777777777777779	1	1	1
((0,3),(1),(2))	3	90	22	15	0	90	880	1.0	9.777777777777779	1	1	1
((0),(1),(2),(3))	4	792	4	198	0	792	5568	1.0	7.03030303030303	1	1	1
((0,2),(1),(3))	3	90	22	15	0	90	880	1.0	9.777777777777779	1	1	1
((0,1),(2),(3))	3	90	22	15	0	90	880	1.0	9.777777777777779	1	1	1
