metric	value
regions	15
connected_regions	0
graphs_depth_1	3840
graphs_depth_2	255
graphs_depth_3	1
graphs_external_neighbors_0	256
graphs_external_neighbors_1	768
graphs_external_neighbors_2	864
graphs_external_neighbors_3	432
graphs_external_neighbors_4	105
graphs_external_neighbors_5	72
graphs_external_neighbors_6	152
graphs_external_neighbors_7	324
graphs_external_neighbors_8	360
graphs_external_neighbors_9	332
graphs_external_neighbors_10	312
graphs_external_neighbors_11	72
graphs_external_neighbors_12	47
volume_vs_max_depth	0.9530177093985889
volume_vs_mean_depth	0.9530177093985889
boundary_fraction_vs_mean_depth	-1.0000000000000002
