metric	key	value
regions	all	15
silent_edges_total	all	15528
crossing_edge_incidences_total	all	18096
regions_with_articulations	all	6
regions_with_bridges	all	6
max_silent_diameter	all	12
boundary_depth_hist	1	3840
boundary_depth_hist	2	255
boundary_depth_hist	3	1
silent_degree_hist	0	47
silent_degree_hist	1	72
silent_degree_hist	2	312
silent_degree_hist	3	332
silent_degree_hist	4	360
silent_degree_hist	5	324
silent_degree_hist	6	152
silent_degree_hist	7	72
silent_degree_hist	8	105
silent_degree_hist	9	432
silent_degree_hist	10	864
silent_degree_hist	11	768
silent_degree_hist	12	256
