metric	key	value
all_relation_orbit_count	1	2
all_relation_orbit_count	2	6
all_relation_orbit_count	3	36
all_relation_orbit_count	4	68
all_relation_orbit_count	6	120
all_relation_orbit_count	7	600
all_relation_orbit_count	12	3264
present_relation_orbit_count	0	1
present_relation_orbit_count	1	93
present_relation_orbit_count	2	178
present_relation_orbit_count	3	416
present_relation_orbit_count	4	588
present_relation_orbit_count	5	768
present_relation_orbit_count	6	804
present_relation_orbit_count	7	672
present_relation_orbit_count	8	384
present_relation_orbit_count	9	168
present_relation_orbit_count	10	24
automorphism_group_size	1	3264
automorphism_group_size	2	720
automorphism_group_size	3	32
automorphism_group_size	4	48
automorphism_group_size	6	24
automorphism_group_size	8	6
automorphism_group_size	24	2
relation_transitive_graphs	all	2
