metric	key	value
orbit_transition_type	incomparable	576
orbit_transition_type	merge	8208
orbit_transition_type	same	32160
orbit_transition_type	split	8208
delta_orbit_count	-10	48
delta_orbit_count	-9	288
delta_orbit_count	-8	672
delta_orbit_count	-6	1368
delta_orbit_count	-5	5544
delta_orbit_count	-4	144
delta_orbit_count	-3	144
delta_orbit_count	-1	96
delta_orbit_count	0	32544
delta_orbit_count	1	96
delta_orbit_count	3	144
delta_orbit_count	4	144
delta_orbit_count	5	5544
delta_orbit_count	6	1368
delta_orbit_count	8	672
delta_orbit_count	9	288
delta_orbit_count	10	48
joint_symmetry_components	1	48
joint_symmetry_components	2	336
joint_symmetry_components	3	1248
joint_symmetry_components	4	1632
joint_symmetry_components	6	2688
joint_symmetry_components	7	11904
joint_symmetry_components	12	31296
old_parameter_loss_if_both_symmetries_enforced	0	40368
old_parameter_loss_if_both_symmetries_enforced	3	144
old_parameter_loss_if_both_symmetries_enforced	4	624
old_parameter_loss_if_both_symmetries_enforced	5	5640
old_parameter_loss_if_both_symmetries_enforced	6	1368
old_parameter_loss_if_both_symmetries_enforced	8	672
old_parameter_loss_if_both_symmetries_enforced	9	288
old_parameter_loss_if_both_symmetries_enforced	10	48
