metric	key	value
relabel_invariance_violations	aut	0
relabel_invariance_violations	norb	0
relabel_invariance_violations	orbit_sizes	0
max_abs_one_step_delta	aut	22
max_abs_one_step_delta	norb	10
max_abs_one_step_delta	edgecount	1
orbit_multisets_per_aut_size	24	1
orbit_multisets_per_aut_size	2	2
orbit_multisets_per_aut_size	6	1
orbit_multisets_per_aut_size	4	2
orbit_multisets_per_aut_size	1	1
orbit_multisets_per_aut_size	3	1
orbit_multisets_per_aut_size	8	1
orbit_multisets_per_orbit_count	1	1
orbit_multisets_per_orbit_count	7	1
orbit_multisets_per_orbit_count	3	2
orbit_multisets_per_orbit_count	4	2
orbit_multisets_per_orbit_count	12	1
orbit_multisets_per_orbit_count	6	1
orbit_multisets_per_orbit_count	2	1
two_cycle_classes	all	13
