metric	key	value
directed_elementary_steps	all	49152
distinct_step_vectors	all	33
zero_vs_positive	C_aut=0,N_cross>0	11472
zero_vs_positive	N_cross=0,C_aut>0	9792
zero_vs_positive	TV_d=0,N_cross>0	18096
zero_vs_positive	N_cross=0,TV_d>0	3096
zero_vs_positive	C_aut=0,C_q>0	192
zero_vs_positive	C_q=0,TV_d>0	1632
pearson	C_aut~C_q	0.6791282207093099
pearson	C_q~C_Ochange	0.9611781056747479
pearson	C_aut~TV_d	0.10794499553031897
pearson	C_aut~N_cross	0.028884650059195008
pearson	C_q~N_cross	0.032176141500829925
pearson	TV_d~N_cross	-0.197913720293669
functional_determination	W->C_aut	0
functional_determination	W->C_q	0
functional_determination	W->C_Ochange	0
functional_determination	W->TV_d	0
functional_determination	W->N_cross	0
