metric	key	value
elementary_activity_vectors	all	33
cone_linear_rank	all	6
normalized_affine_rank	all	5
extreme_rays	all	21
extreme_ray	(1,0,0,0,0,0)	19536
extreme_ray	(1,0,0,0,0,1)	11376
extreme_ray	(1,0,0,0,1,0)	1632
extreme_ray	(1,0,1,1,0,0)	96
extreme_ray	(1,0,1,1,0,1)	96
extreme_ray	(1,1,5,1,1,0)	816
extreme_ray	(1,1,6,1,0,0)	1680
extreme_ray	(1,1,6,1,0,1)	720
extreme_ray	(1,1,6,1,1,0)	288
extreme_ray	(1,2,8,1,0,0)	336
extreme_ray	(1,2,8,1,0,1)	336
extreme_ray	(1,2,8,1,1,0)	96
extreme_ray	(1,3,9,1,0,0)	144
extreme_ray	(1,3,9,1,0,1)	48
extreme_ray	(1,3,9,1,1,0)	96
extreme_ray	(1,5,9,1,0,1)	96
extreme_ray	(1,6,5,1,0,0)	24
extreme_ray	(1,7,10,1,0,0)	48
extreme_ray	(1,7,10,1,1,0)	48
extreme_ray	(1,22,6,1,0,1)	24
extreme_ray	(1,22,6,1,1,0)	24
admissible_negative_channel_example	C_aut	C=22W-C_aut
admissible_negative_channel_example	C_q	C=10W-C_q
admissible_negative_channel_example	C_O	C=W-C_O
admissible_negative_channel_example	TV_d	C=W-TV_d
admissible_negative_channel_example	N_cross	C=W-N_cross
