metric	key	value
distinguished_static_violation	aut_product_distinguished	0
distinguished_static_violation	logaut_add_distinguished	0
distinguished_static_violation	q_composition_formula	0
distinguished_static_violation	pi_blocks_add_distinguished	0
undistinguished_nonadditivity_count	undistinguished_aut_nonproduct	6
undistinguished_nonadditivity_count	undistinguished_pi_nonadditive	10
undistinguished_nonadditivity_count	undistinguished_q_nonadditive	15
distinguished_history_violation	TV_logAut_locality	0
distinguished_history_violation	TV_q_locality	32
history_cases	all	32
