metric	key	value
2plus2_unit_cross_couplings	all	128
2plus2_partition_changed	all	64
2plus2_partition_unchanged	all	64
2plus2_delta_depth_nonzero	all	0
3plus3_independent_baselines	all	4096
3plus3_baselines_Sint_1	all	3772
3plus3_baselines_cross_immune_discrete	all	324
identity_changing_single_cross_edges_per_baseline	0	324
identity_changing_single_cross_edges_per_baseline	6	648
identity_changing_single_cross_edges_per_baseline	9	1008
identity_changing_single_cross_edges_per_baseline	12	324
identity_changing_single_cross_edges_per_baseline	15	1008
identity_changing_single_cross_edges_per_baseline	18	784
n3_discrete_factor_graphs	all	18
complete3_factor_depth	all	2
complete3plus3_product_depth	all	2
complete3plus3_global_depth_with_cross_channels	all	1
