metric	value
main_sha	6a3fad9c36a4795899bf0cbe1e00a608684ee0a5
branch_ahead_at_start	232
branch_behind_at_start	0
n3_microstates	64
current_Pi_star_classes	5
final_predictive_classes_under_all_toggles	64
non_singleton_predictive_classes	0
W_mod4_exact_classes	4
parity_endpoint_exact_classes	64
pattern_012_exact_classes	4
W_exact_classes	infinite
TV_prefix_depth_0_classes	1
TV_prefix_depth_1_classes	7
TV_prefix_depth_2_classes	23
TV_prefix_depth_3_classes	73
TV_prefix_depth_4_classes	147
TV_prefix_depth_5_classes	273
TV_continuation_horizon	2
