graph_a	graph_b	shared_d_star	diameter_a	diameter_b	g1_a	g1_b
cycle_6	grid2_2x3	1	3	3	1.6666666666666667	1.6111111111111114
cycle_6	grid3_2x2x2	1	3	3	1.6666666666666667	1.75
cycle_6	binary_tree_depth2	1	3	4	1.6666666666666667	1.8333333333333335
cycle_6	complete_5	1	3	1	1.6666666666666667	1.0
grid2_2x3	grid3_2x2x2	1	3	3	1.6111111111111114	1.75
grid2_2x3	binary_tree_depth2	1	3	4	1.6111111111111114	1.8333333333333335
grid2_2x3	complete_5	1	3	1	1.6111111111111114	1.0
grid3_2x2x2	binary_tree_depth2	1	3	4	1.75	1.8333333333333335
grid3_2x2x2	complete_5	1	3	1	1.75	1.0
binary_tree_depth2	complete_5	1	4	1	1.8333333333333335	1.0
