n	m	canonical	aut_size	edge_orbits	edge_orbit_sizes	microstates	observable_classes	aut_orbit_classes	predictive_classes	d_star_rel	refinement_counts	equal_partitions	failure_type
2	1	1	2	1	1	2	2	2	2	0	2	True	
3	2	011	2	1	2	4	3	3	3	0	3	True	
3	3	111	6	1	3	8	4	4	4	0	4	True	
4	3	001011	6	1	3	8	4	4	4	0	4	True	
4	3	001101	2	2	1,2	8	5	6	6	1	5->6	True	
4	4	001111	2	3	1,1,2	16	8	12	12	1	8->12	True	
4	4	011110	8	1	4	16	6	6	6	0	6	True	
4	5	011111	4	2	1,4	32	10	14	14	1	10->14	True	
4	6	111111	24	1	6	64	11	11	11	0	11	True	
5	4	0001001011	24	1	4	16	5	5	5	0	5	True	
5	4	0001001101	2	3	1,1,2	16	8	12	12	1	8->12	True	
5	5	0001001111	4	3	1,2,2	32	12	18	18	1	12->18	True	
5	4	0001010110	2	2	2,2	16	7	10	10	1	7->10	True	
5	5	0001010111	2	3	1,2,2	32	12	20	20	1	12->20	True	
5	5	0001011110	2	3	1,2,2	32	11	20	20	1	11->20	True	
5	6	0001011111	2	4	1,1,2,2	64	18	40	40	1	18->40	True	
5	5	0001110101	2	4	1,1,1,2	32	13	24	24	1	13->24	True	
5	6	0001110111	2	4	1,1,2,2	64	17	40	40	1	17->40	True	
5	7	0001111111	6	3	1,3,3	128	22	40	40	1	22->40	True	
5	6	0011011110	12	1	6	64	12	13	13	1	12->13	True	
5	7	0011011111	12	2	1,6	128	20	26	26	1	20->26	True	
5	6	0011101011	8	2	2,4	64	16	21	21	1	16->21	True	
5	5	0011101100	10	1	5	32	8	8	8	0	8	True	
5	6	0011101101	2	4	1,1,2,2	64	17	40	40	1	17->40	True	
5	7	0011101111	2	4	1,2,2,2	128	24	72	72	1	24->72	True	
5	7	0011111110	4	3	1,2,4	128	20	48	48	1	20->48	True	
5	8	0011111111	4	4	1,1,2,4	256	29	96	96	1	29->96	True	
5	8	0111111011	8	2	4,4	256	26	51	51	1	26->51	True	
5	9	0111111111	12	2	3,6	512	31	74	74	1	31->74	True	
5	10	1111111111	120	1	10	1024	32	34	34	1	32->34	True	
