execution_id,sha256,representative_source_set,representative_path,copy_count,static_category,executable_top_level_nodes,adaptation,timeout_seconds,timed_out,return_code,run_status,duration_seconds,stdout_bytes,stderr_bytes,stdout_sha256,stderr_sha256,stdout_log,stderr_log,generated_file_count,generated_files_json
PYU-0001,046bcea951a0e3d1fa71d8626f39aa20f1fca7b158b8687cd0731d83762d9e76,physical,OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/03_CODIGO/reproducir_entrega_03.py,1,executable,2,none,300,False,0,executed_successfully,1.048794,297,0,f04718817483ba6f18aef6f97c1bdb2aca5f8d9d6b8eccb21b3d21b582309899,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0001_stdout.txt,logs/PYU-0001_stderr.txt,0,[]
PYU-0002,1069695438e99023b8dce64a50a178f17c21160765c490d4654a8769fc4a665e,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Symbolic_Verifier_v13_2026-07-31.py,3,executable,30,none,300,False,1,execution_failed,0.041241,0,212,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7b0e682a947eb035c9f317cb0cfb9ee91f5ba36f8bbbbd9c36e49e56ca47ae4b,logs/PYU-0002_stdout.txt,logs/PYU-0002_stderr.txt,0,[]
PYU-0003,1e36cbd6051c5d04bbd129b8e848b551c07790b297874e0cec185dcd0e0629bc,physical,OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/03_CODIGO/reproducir_entrega_04.py,1,executable,1,none,300,False,0,executed_successfully,0.224981,123,0,2768b31dc2adedcf298f3c49834809fdb1da9a6b7efd21117cf74187b7fdde96,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0003_stdout.txt,logs/PYU-0003_stderr.txt,0,[]
PYU-0004,2cbc0dcc4df6e31f31003c622247167c670fe2f0156ab9d5cd505a9f9d6546e0,physical,OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/03_CODIGO/reproducir_entrega_09.py,1,executable,2,none,300,False,0,executed_successfully,0.195964,145,0,1038d8df951e9be9d40893190a694b60fa0d7655a8da2149464f7060c51c4ce2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0004_stdout.txt,logs/PYU-0004_stderr.txt,0,[]
PYU-0005,3bf6b6587ae650cb605863cc21f2322c67931b555eb4026e30db7fbd133f19ff,physical,OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/03_CODIGO/reproducir_entrega_14.py,1,executable,6,none,300,False,0,executed_successfully,0.166489,46,0,9e0619bc20fe346f7fd927f124ab74c034d781dbcf35984185c83b3f4c0cf221,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0005_stdout.txt,logs/PYU-0005_stderr.txt,0,[]
PYU-0006,3ccbda40d2cea1435b77434e9da42abc683cce2899e4368a65ac4f6605a36561,physical,OMEGA_THEORY_V1_1_ENTREGA_15_IRREVERSIBILIDAD_IDENTIDAD_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_15_IRREVERSIBILIDAD_IDENTIDAD_CONTINUIDAD/03_CODIGO/reproducir_entrega_15.py,1,executable,2,none,300,False,0,executed_successfully,0.039404,56,0,63ed7f7c66f9678c0b3eb6634534ef50a150e33a4438f3b96ce188eb1124d33f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0006_stdout.txt,logs/PYU-0006_stderr.txt,0,[]
PYU-0007,47a327561201e7fb5e572461f6d9c76bd862f0f271df16acd5294dbd77906d75,physical,OMEGA_THEORY_V1_1_ENTREGA_12_MEDIDA_COMUN_Y_PROTECCION_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_12_MEDIDA_COMUN_Y_PROTECCION_ALPHA/03_CODIGO/reproducir_entrega_12.py,1,executable,11,none,300,False,0,executed_successfully,0.16779,58,0,db1a937834f561ad69786a40323afdbff011aea4bf17a38b4837e1f102aeb740,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0007_stdout.txt,logs/PYU-0007_stderr.txt,0,[]
PYU-0008,4df244f8a8b933d385dac744c5df9707ad836a3dea88d2961741470cb1a72c30,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Abelian_Charged_Solver_v9_2026-07-31.py,3,documentation_or_import_only,0,none,300,False,0,no_executable_logic,0.04466,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0008_stdout.txt,logs/PYU-0008_stderr.txt,0,[]
PYU-0009,4f8b3d187364f5c1b5e1c36080063ee2e033b0fa95334d3900d002e119bd07a1,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/einstein_omega_solver.py,2,documentation_or_import_only,0,none,300,False,0,no_executable_logic,0.052363,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0009_stdout.txt,logs/PYU-0009_stderr.txt,0,[]
PYU-0010,5785a026722f750dd20f9c9f0d083f6f4eea1c25ac6ebeeed229f6e133cdf535,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_pulsation_solver_preliminary_v6_2026-07-31.py,3,executable,3,literal /mnt/data redirected to isolated temporary data directory; packaged profile copied into isolated data directory,300,False,0,executed_successfully,2.462588,291,0,33f9774c0980a3940f0387b3635ad9bc0c478d61748c1d29aa97dd855f0437ab,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0010_stdout.txt,logs/PYU-0010_stderr.txt,1,"[""Geometry_Omega_saturated_profile_fc_0p9998_2026-07-31.csv""]"
PYU-0011,5c94c1286cf3290a65ecada7afcdae7bc9eff5e52813e870fd6d0860c084ff0b,physical,OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/03_CODIGO/reproducir_entrega_11.py,1,executable,1,none,300,False,0,executed_successfully,0.218339,54,0,16e98b7aa86ec36804f5167b2a253ed59d11a5915db42245b2c6d2e871b4cc5f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0011_stdout.txt,logs/PYU-0011_stderr.txt,0,[]
PYU-0012,671bd4435e1ce0f1f7ceb88f2b60389e7c0fd36355b9aaa18f3b82a3ff39ea3b,physical,OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/03_CODIGO/reproducir_entrega_05.py,1,executable,5,none,300,False,0,executed_successfully,0.901931,55,0,bad6bf0f8660a11afad42493737cf90484712642e64cfa5a80e78dfce8169cab,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0012_stdout.txt,logs/PYU-0012_stderr.txt,0,[]
PYU-0013,762564a6f3580ac2e3d83089f0d05b1adf489a6d435cceea51998a3609cb4bc3,physical,OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/03_CODIGO/reproducir_entrega_02.py,1,executable,6,none,300,False,0,executed_successfully,0.92671,42,0,33487bf94710d02acccb687a95bbc8257d77ff884116b831cac29766a3e0b3db,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0013_stdout.txt,logs/PYU-0013_stderr.txt,0,[]
PYU-0014,846172d10b87d4c54991b0a0c0b57212580fd1747bcf3a3e81c7fa0a2a8f143f,physical,OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/03_CODIGO/reproducir_entrega_17.py,1,executable,3,none,300,False,0,executed_successfully,0.040889,42,0,f5538174e787d760005b397600430b7c471bd0d1387c6465d9c97f46489bb989,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0014_stdout.txt,logs/PYU-0014_stderr.txt,0,[]
PYU-0015,9468de38d6c81c8f08325d1e47bd030cb08dd8a166b15c0ab453a9cbbff6a7a6,physical,OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/03_CODIGO/reproducir_entrega_18.py,1,executable,4,none,300,False,0,executed_successfully,0.200344,387,0,8d41831c616e5751884334bef4c54743e4b5f18b24607bb48c386e60fc3b7864,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/PYU-0015_stdout.txt,logs/PYU-0015_stderr.txt,0,[]
